person1,person2,cooperation_count,avg_rating,movies,movies_count
杜琪峰,古天乐,7,6.757142857142858,"[{'movie_id': 2819, 'movie_name': '黑社会', 'rating': 8.5, 'year': 0, 'types': ['剧情', '惊悚', '犯罪']}, {'movie_id': 2820, 'movie_name': '黑社会2：以和为贵', 'rating': 8.4, 'year': 0, 'types': ['剧情', '惊悚', '犯罪']}, {'movie_id': 800, 'movie_name': '铁三角', 'rating': 6.5, 'year': 0, 'types': ['动作']}, {'movie_id': 577, 'movie_name': '百年好合', 'rating': 6.2, 'year': 0, 'types': ['喜剧', '动作', '爱情']}, {'movie_id': 415, 'movie_name': '三人行', 'rating': 5.9, 'year': 0, 'types': ['剧情', '动作', '犯罪']}]",5
宁浩,黄渤,6,9.133333333333333,"[{'movie_id': 148, 'movie_name': '疯狂的外星人', 'rating': 9.3, 'year': 0, 'types': ['喜剧', '科幻']}, {'movie_id': 157, 'movie_name': '疯狂的石头', 'rating': 9.3, 'year': 0, 'types': ['喜剧', '犯罪']}, {'movie_id': 165, 'movie_name': '心花路放', 'rating': 9.2, 'year': 0, 'types': ['喜剧', '爱情']}, {'movie_id': 167, 'movie_name': '无人区', 'rating': 9.2, 'year': 0, 'types': ['剧情', '犯罪', '西部']}, {'movie_id': 220, 'movie_name': '疯狂的赛车', 'rating': 9.0, 'year': 0, 'types': ['喜剧', '动作', '冒险']}]",5
海涛,李美慧,6,7.2,"[{'movie_id': 1254, 'movie_name': '侠僧探案传奇之大夜叉', 'rating': 7.4, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}, {'movie_id': 1344, 'movie_name': '侠僧探案传奇之聚义钱庄', 'rating': 7.3, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}, {'movie_id': 1422, 'movie_name': '侠僧探案传奇之王陵之谜', 'rating': 7.2, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}, {'movie_id': 1498, 'movie_name': '侠僧探案传奇之催命符', 'rating': 7.1, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}, {'movie_id': 1500, 'movie_name': '侠僧探案传奇之洛阳花会', 'rating': 7.1, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}]",5
海涛,张哲浩,6,7.2,"[{'movie_id': 1254, 'movie_name': '侠僧探案传奇之大夜叉', 'rating': 7.4, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}, {'movie_id': 1344, 'movie_name': '侠僧探案传奇之聚义钱庄', 'rating': 7.3, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}, {'movie_id': 1422, 'movie_name': '侠僧探案传奇之王陵之谜', 'rating': 7.2, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}, {'movie_id': 1498, 'movie_name': '侠僧探案传奇之催命符', 'rating': 7.1, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}, {'movie_id': 1500, 'movie_name': '侠僧探案传奇之洛阳花会', 'rating': 7.1, 'year': 0, 'types': ['动作', '悬疑', '武侠', '古装']}]",5
麦兆辉,庄文强,6,8.633333333333333,"[{'movie_id': 241, 'movie_name': '窃听风云2', 'rating': 8.9, 'year': 0, 'types': ['剧情', '动作', '悬疑', '犯罪']}, {'movie_id': 245, 'movie_name': '窃听风云', 'rating': 8.9, 'year': 0, 'types': ['剧情', '动作', '惊悚']}, {'movie_id': 276, 'movie_name': '听风者', 'rating': 8.8, 'year': 0, 'types': ['剧情', '悬疑']}, {'movie_id': 309, 'movie_name': '窃听风云3', 'rating': 8.7, 'year': 0, 'types': ['动作', '悬疑', '惊悚', '犯罪']}, {'movie_id': 438, 'movie_name': '关云长', 'rating': 8.5, 'year': 0, 'types': ['动作', '传记', '历史', '古装']}]",5
杜琪峰,任达华,6,7.916666666666667,"[{'movie_id': 2817, 'movie_name': '枪火', 'rating': 8.8, 'year': 0, 'types': ['剧情', '动作', '犯罪']}, {'movie_id': 2819, 'movie_name': '黑社会', 'rating': 8.5, 'year': 0, 'types': ['剧情', '惊悚', '犯罪']}, {'movie_id': 2820, 'movie_name': '黑社会2：以和为贵', 'rating': 8.4, 'year': 0, 'types': ['剧情', '惊悚', '犯罪']}, {'movie_id': 2821, 'movie_name': '放·逐', 'rating': 8.3, 'year': 0, 'types': ['惊悚', '犯罪']}, {'movie_id': 654, 'movie_name': '大事件', 'rating': 7.0, 'year': 0, 'types': ['剧情', '动作', '犯罪']}]",5
潘长江,曹华,5,5.54,"[{'movie_id': 2255, 'movie_name': '毛驴县令之大事小情', 'rating': 6.1, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2421, 'movie_name': '毛驴县令之棒子老虎鸡', 'rating': 5.7, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2422, 'movie_name': '毛驴县令之歪打正着', 'rating': 5.7, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2508, 'movie_name': '毛驴县令之酸儿辣女', 'rating': 5.4, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2628, 'movie_name': '毛驴县令之母鸡打鸣', 'rating': 4.8, 'year': 0, 'types': ['剧情', '喜剧', '动作', '古装']}]",5
潘长江,恬妞,5,5.54,"[{'movie_id': 2255, 'movie_name': '毛驴县令之大事小情', 'rating': 6.1, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2421, 'movie_name': '毛驴县令之棒子老虎鸡', 'rating': 5.7, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2422, 'movie_name': '毛驴县令之歪打正着', 'rating': 5.7, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2508, 'movie_name': '毛驴县令之酸儿辣女', 'rating': 5.4, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2628, 'movie_name': '毛驴县令之母鸡打鸣', 'rating': 4.8, 'year': 0, 'types': ['剧情', '喜剧', '动作', '古装']}]",5
黄秋生,刘伟强,5,8.5,"[{'movie_id': 248, 'movie_name': '无间道3：终极无间', 'rating': 8.9, 'year': 0, 'types': ['剧情', '动作', '惊悚', '犯罪']}, {'movie_id': 378, 'movie_name': '不再让你孤单', 'rating': 8.6, 'year': 0, 'types': ['剧情', '爱情']}, {'movie_id': 488, 'movie_name': '精武风云·陈真', 'rating': 8.4, 'year': 0, 'types': ['动作']}, {'movie_id': 583, 'movie_name': '中华英雄', 'rating': 8.3, 'year': 0, 'types': ['剧情', '动作', '冒险']}, {'movie_id': 584, 'movie_name': '风云雄霸天下', 'rating': 8.3, 'year': 0, 'types': ['动作', '奇幻', '冒险']}]",5
林家栋,杜琪峰,5,8.040000000000001,"[{'movie_id': 2816, 'movie_name': '神探', 'rating': 8.5, 'year': 0, 'types': ['动作', '悬疑', '惊悚', '犯罪']}, {'movie_id': 2819, 'movie_name': '黑社会', 'rating': 8.5, 'year': 0, 'types': ['剧情', '惊悚', '犯罪']}, {'movie_id': 2820, 'movie_name': '黑社会2：以和为贵', 'rating': 8.4, 'year': 0, 'types': ['剧情', '惊悚', '犯罪']}, {'movie_id': 2821, 'movie_name': '放·逐', 'rating': 8.3, 'year': 0, 'types': ['惊悚', '犯罪']}, {'movie_id': 800, 'movie_name': '铁三角', 'rating': 6.5, 'year': 0, 'types': ['动作']}]",5
邱礼涛,刘德华,5,7.4799999999999995,"[{'movie_id': 341, 'movie_name': '扫毒2天地对决', 'rating': 8.6, 'year': 0, 'types': ['剧情', '动作', '悬疑', '犯罪']}, {'movie_id': 408, 'movie_name': '拆弹专家', 'rating': 8.5, 'year': 0, 'types': ['动作', '悬疑', '犯罪']}, {'movie_id': 976, 'movie_name': '爱情梦幻号', 'rating': 7.8, 'year': 0, 'types': ['爱情']}, {'movie_id': 72, 'movie_name': '谈判专家', 'rating': 7.2, 'year': 0, 'types': ['剧情', '犯罪']}, {'movie_id': 66, 'movie_name': '猎金·游戏', 'rating': 5.3, 'year': 0, 'types': ['剧情', '犯罪']}]",5
张智霖,邓衍成,5,7.74,"[{'movie_id': 969, 'movie_name': '陆小凤传奇之大金鹏王', 'rating': 7.8, 'year': 0, 'types': ['动作', '武侠', '古装']}, {'movie_id': 971, 'movie_name': '陆小凤传奇之陆小凤前传', 'rating': 7.8, 'year': 0, 'types': ['剧情', '动作', '武侠', '古装']}, {'movie_id': 1046, 'movie_name': '陆小凤传奇之银钩赌坊', 'rating': 7.7, 'year': 0, 'types': ['动作', '武侠', '古装']}, {'movie_id': 1047, 'movie_name': '陆小凤传奇之决战前后', 'rating': 7.7, 'year': 0, 'types': ['动作', '武侠', '古装']}, {'movie_id': 1052, 'movie_name': '陆小凤传奇之凤舞九天', 'rating': 7.7, 'year': 0, 'types': ['动作', '武侠', '古装']}]",5
宁浩,徐峥,5,9.2,"[{'movie_id': 148, 'movie_name': '疯狂的外星人', 'rating': 9.3, 'year': 0, 'types': ['喜剧', '科幻']}, {'movie_id': 157, 'movie_name': '疯狂的石头', 'rating': 9.3, 'year': 0, 'types': ['喜剧', '犯罪']}, {'movie_id': 165, 'movie_name': '心花路放', 'rating': 9.2, 'year': 0, 'types': ['喜剧', '爱情']}, {'movie_id': 167, 'movie_name': '无人区', 'rating': 9.2, 'year': 0, 'types': ['剧情', '犯罪', '西部']}, {'movie_id': 220, 'movie_name': '疯狂的赛车', 'rating': 9.0, 'year': 0, 'types': ['喜剧', '动作', '冒险']}]",5
冯小刚,傅彪,5,8.64,"[{'movie_id': 193, 'movie_name': '天下无贼', 'rating': 9.1, 'year': 0, 'types': ['剧情', '动作', '犯罪']}, {'movie_id': 250, 'movie_name': '甲方乙方', 'rating': 8.9, 'year': 0, 'types': ['喜剧']}, {'movie_id': 337, 'movie_name': '大腕', 'rating': 8.7, 'year': 0, 'types': ['喜剧']}, {'movie_id': 508, 'movie_name': '没完没了', 'rating': 8.4, 'year': 0, 'types': ['剧情', '喜剧']}, {'movie_id': 727, 'movie_name': '一声叹息', 'rating': 8.1, 'year': 0, 'types': ['剧情', '爱情', '家庭']}]",5
麦兆辉,方中信,5,8.68,"[{'movie_id': 241, 'movie_name': '窃听风云2', 'rating': 8.9, 'year': 0, 'types': ['剧情', '动作', '悬疑', '犯罪']}, {'movie_id': 245, 'movie_name': '窃听风云', 'rating': 8.9, 'year': 0, 'types': ['剧情', '动作', '惊悚']}, {'movie_id': 309, 'movie_name': '窃听风云3', 'rating': 8.7, 'year': 0, 'types': ['动作', '悬疑', '惊悚', '犯罪']}, {'movie_id': 438, 'movie_name': '关云长', 'rating': 8.5, 'year': 0, 'types': ['动作', '传记', '历史', '古装']}, {'movie_id': 457, 'movie_name': '廉政风云', 'rating': 8.4, 'year': 0, 'types': ['剧情', '悬疑', '犯罪']}]",5
恬妞,曹华,5,5.54,"[{'movie_id': 2255, 'movie_name': '毛驴县令之大事小情', 'rating': 6.1, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2421, 'movie_name': '毛驴县令之棒子老虎鸡', 'rating': 5.7, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2422, 'movie_name': '毛驴县令之歪打正着', 'rating': 5.7, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2508, 'movie_name': '毛驴县令之酸儿辣女', 'rating': 5.4, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 2628, 'movie_name': '毛驴县令之母鸡打鸣', 'rating': 4.8, 'year': 0, 'types': ['剧情', '喜剧', '动作', '古装']}]",5
陈学冬,郭敬明,5,4.5,"[{'movie_id': 273, 'movie_name': '小时代2：青木时代', 'rating': 5.1, 'year': 0, 'types': ['剧情', '喜剧', '爱情']}, {'movie_id': 189, 'movie_name': '小时代', 'rating': 5.0, 'year': 0, 'types': ['剧情', '喜剧', '爱情']}, {'movie_id': 269, 'movie_name': '小时代3：刺金时代', 'rating': 4.8, 'year': 0, 'types': ['剧情', '喜剧', '爱情']}, {'movie_id': 352, 'movie_name': '爵迹', 'rating': 3.8, 'year': 0, 'types': ['动画', '奇幻']}, {'movie_id': 2812, 'movie_name': '爵迹2:冷血狂宴', 'rating': 3.8, 'year': 0, 'types': ['剧情', '动画', '奇幻']}]",5
杨亚洲,倪萍,5,5.9399999999999995,"[{'movie_id': 723, 'movie_name': '美丽的大脚', 'rating': 8.1, 'year': 0, 'types': ['剧情']}, {'movie_id': 1765, 'movie_name': '泥鳅也是鱼', 'rating': 6.8, 'year': 0, 'types': ['剧情', '爱情']}, {'movie_id': 2263, 'movie_name': '最长的拥抱', 'rating': 6.1, 'year': 0, 'types': ['爱情']}, {'movie_id': 2645, 'movie_name': '雪花那个飘', 'rating': 4.7, 'year': 0, 'types': ['剧情']}, {'movie_id': 2738, 'movie_name': '大太阳', 'rating': 4.0, 'year': 0, 'types': ['剧情']}]",5
郭采洁,郭敬明,5,4.5,"[{'movie_id': 273, 'movie_name': '小时代2：青木时代', 'rating': 5.1, 'year': 0, 'types': ['剧情', '喜剧', '爱情']}, {'movie_id': 189, 'movie_name': '小时代', 'rating': 5.0, 'year': 0, 'types': ['剧情', '喜剧', '爱情']}, {'movie_id': 269, 'movie_name': '小时代3：刺金时代', 'rating': 4.8, 'year': 0, 'types': ['剧情', '喜剧', '爱情']}, {'movie_id': 352, 'movie_name': '爵迹', 'rating': 3.8, 'year': 0, 'types': ['动画', '奇幻']}, {'movie_id': 2812, 'movie_name': '爵迹2:冷血狂宴', 'rating': 3.8, 'year': 0, 'types': ['剧情', '动画', '奇幻']}]",5
林超贤,廖启智,5,8.34,"[{'movie_id': 381, 'movie_name': '线人', 'rating': 8.6, 'year': 0, 'types': ['剧情', '动作', '惊悚']}, {'movie_id': 444, 'movie_name': '证人', 'rating': 8.5, 'year': 0, 'types': ['动作', '惊悚']}, {'movie_id': 482, 'movie_name': '逆战', 'rating': 8.4, 'year': 0, 'types': ['剧情', '动作', '惊悚', '犯罪']}, {'movie_id': 539, 'movie_name': '魔警', 'rating': 8.3, 'year': 0, 'types': ['动作', '悬疑', '惊悚', '犯罪']}, {'movie_id': 888, 'movie_name': '火龙对决', 'rating': 7.9, 'year': 0, 'types': ['动作', '惊悚']}]",5
王晶,童菲,5,8.459999999999999,"[{'movie_id': 306, 'movie_name': '澳门风云2', 'rating': 8.7, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 311, 'movie_name': '澳门风云', 'rating': 8.7, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 357, 'movie_name': '澳门风云3', 'rating': 8.6, 'year': 0, 'types': ['喜剧', '动作']}, {'movie_id': 478, 'movie_name': '大上海', 'rating': 8.4, 'year': 0, 'types': ['剧情', '动作']}, {'movie_id': 867, 'movie_name': '笑功震武林', 'rating': 7.9, 'year': 0, 'types': ['喜剧', '动作']}]",5
方中信,庄文强,5,8.879999999999999,"[{'movie_id': 139, 'movie_name': '无双', 'rating': 9.4, 'year': 0, 'types': ['剧情', '动作', '悬疑', '犯罪']}, {'movie_id': 241, 'movie_name': '窃听风云2', 'rating': 8.9, 'year': 0, 'types': ['剧情', '动作', '悬疑', '犯罪']}, {'movie_id': 245, 'movie_name': '窃听风云', 'rating': 8.9, 'year': 0, 'types': ['剧情', '动作', '惊悚']}, {'movie_id': 309, 'movie_name': '窃听风云3', 'rating': 8.7, 'year': 0, 'types': ['动作', '悬疑', '惊悚', '犯罪']}, {'movie_id': 438, 'movie_name': '关云长', 'rating': 8.5, 'year': 0, 'types': ['动作', '传记', '历史', '古装']}]",5
张涛,彭禺厶,5,6.7,"[{'movie_id': 1420, 'movie_name': '道士出山', 'rating': 7.2, 'year': 0, 'types': ['剧情', '恐怖']}, {'movie_id': 1578, 'movie_name': '阴阳先生', 'rating': 7.0, 'year': 0, 'types': ['喜剧', '惊悚']}, {'movie_id': 1888, 'movie_name': '阴阳先生之末代天师', 'rating': 6.6, 'year': 0, 'types': ['喜剧', '动作', '惊悚']}, {'movie_id': 2033, 'movie_name': '超自然事件之坠龙事件', 'rating': 6.4, 'year': 0, 'types': ['动作', '科幻']}, {'movie_id': 2107, 'movie_name': '金三角大营救', 'rating': 6.3, 'year': 0, 'types': ['剧情', '动作', '悬疑']}]",5
刘镇伟,方力申,5,4.66,"[{'movie_id': 324, 'movie_name': '越光宝盒', 'rating': 5.4, 'year': 0, 'types': ['喜剧', '爱情', '奇幻', '古装']}, {'movie_id': 643, 'movie_name': '机器侠', 'rating': 5.4, 'year': 0, 'types': ['喜剧', '动作', '爱情', '科幻']}, {'movie_id': 1037, 'movie_name': '出水芙蓉', 'rating': 5.1, 'year': 0, 'types': ['喜剧', '运动']}, {'movie_id': 553, 'movie_name': '东成西就2011', 'rating': 4.0, 'year': 0, 'types': ['喜剧', '动作', '爱情', '音乐', '奇幻']}, {'movie_id': 688, 'movie_name': '大话天仙', 'rating': 3.4, 'year': 0, 'types': ['喜剧', '奇幻', '古装']}]",5
甄子丹,叶伟信,5,8.66,"[{'movie_id': 221, 'movie_name': '叶问', 'rating': 9.0, 'year': 0, 'types': ['剧情', '动作', '传记', '历史']}, {'movie_id': 280, 'movie_name': '叶问2：宗师传奇', 'rating': 8.8, 'year': 0, 'types': ['动作', '传记', '历史']}, {'movie_id': 356, 'movie_name': '叶问3', 'rating': 8.6, 'year': 0, 'types': ['剧情', '动作', '传记', '历史']}, {'movie_id': 446, 'movie_name': '导火线', 'rating': 8.5, 'year': 0, 'types': ['动作']}, {'movie_id': 504, 'movie_name': '龙虎门', 'rating': 8.4, 'year': 0, 'types': ['剧情', '动作']}]",5
曾志伟,朱延平,5,8.28,"[{'movie_id': 392, 'movie_name': '大灌篮', 'rating': 8.6, 'year': 0, 'types': ['喜剧', '运动']}, {'movie_id': 440, 'movie_name': '大笑江湖', 'rating': 8.5, 'year': 0, 'types': ['动作', '爱情', '武侠', '古装']}, {'movie_id': 493, 'movie_name': '刺陵', 'rating': 8.4, 'year': 0, 'types': ['动作', '冒险']}, {'movie_id': 808, 'movie_name': '一石二鸟', 'rating': 8.0, 'year': 0, 'types': ['喜剧', '动作', '冒险']}, {'movie_id': 823, 'movie_name': '新乌龙院之笑闹江湖', 'rating': 7.9, 'year': 0, 'types': ['剧情', '喜剧', '动作']}]",5
刘伟强,舒淇,5,8.42,"[{'movie_id': 378, 'movie_name': '不再让你孤单', 'rating': 8.6, 'year': 0, 'types': ['剧情', '爱情']}, {'movie_id': 448, 'movie_name': '伤城', 'rating': 8.5, 'year': 0, 'types': ['剧情', '惊悚', '犯罪']}, {'movie_id': 488, 'movie_name': '精武风云·陈真', 'rating': 8.4, 'year': 0, 'types': ['动作']}, {'movie_id': 583, 'movie_name': '中华英雄', 'rating': 8.3, 'year': 0, 'types': ['剧情', '动作', '冒险']}, {'movie_id': 584, 'movie_name': '风云雄霸天下', 'rating': 8.3, 'year': 0, 'types': ['动作', '奇幻', '冒险']}]",5
叶伟信,古天乐,5,8.379999999999999,"[{'movie_id': 300, 'movie_name': '杀破狼·贪狼', 'rating': 8.7, 'year': 0, 'types': ['剧情', '动作']}, {'movie_id': 379, 'movie_name': '倩女幽魂', 'rating': 8.6, 'year': 0, 'types': ['剧情', '惊悚', '奇幻', '古装']}, {'movie_id': 446, 'movie_name': '导火线', 'rating': 8.5, 'year': 0, 'types': ['动作']}, {'movie_id': 532, 'movie_name': '冲上云霄', 'rating': 8.3, 'year': 0, 'types': ['剧情', '爱情']}, {'movie_id': 954, 'movie_name': '开心魔法', 'rating': 7.8, 'year': 0, 'types': ['喜剧', '奇幻']}]",5
娄烨,秦昊,4,8.65,"[{'movie_id': 194, 'movie_name': '风中有朵雨做的云', 'rating': 9.0, 'year': 0, 'types': ['剧情', '悬疑', '犯罪']}, {'movie_id': 363, 'movie_name': '推拿', 'rating': 8.6, 'year': 0, 'types': ['剧情']}, {'movie_id': 369, 'movie_name': '浮城谜事', 'rating': 8.6, 'year': 0, 'types': ['剧情', '犯罪']}, {'movie_id': 496, 'movie_name': '春风沉醉的夜晚', 'rating': 8.4, 'year': 0, 'types': ['剧情', '同性']}]",4
余浩瑞,回宇,4,4.85,"[{'movie_id': 1956, 'movie_name': '魔游纪1：盘古之心', 'rating': 6.5, 'year': 0, 'types': ['剧情', '动作', '奇幻', '冒险', '古装']}, {'movie_id': 2544, 'movie_name': '魔游纪2：异乡奇遇', 'rating': 5.2, 'year': 0, 'types': ['剧情', '奇幻', '古装']}, {'movie_id': 2599, 'movie_name': '魔游纪3：天都暗潮', 'rating': 4.9, 'year': 0, 'types': ['剧情', '奇幻', '冒险']}, {'movie_id': 2800, 'movie_name': '魔游纪5：宿命之争', 'rating': 2.8, 'year': 0, 'types': ['剧情', '动作', '冒险', '古装']}]",4
